  Time Use   jobID
  1421:07:   1725318.node96      
  1418:24:   1725319.node96      
  1409:52:   1725320.node96      
  1404:48:   1725321.node96      
  1329:33:   1725322.node96      
  1333:20:   1725323.node96      
  1268:23:   1725324.node96      
  1268:17:   1725325.node96      
  1192:43:   1725326.node96      
  1141:30:   1725327.node96      
  1084:35:   1725328.node96      
  1018:40:   1725329.node96      
  937:24:0   1725330.node96      
  809:18:3   1725331.node96      
         0   1725332.node96      
         0   1725333.node96      
         0   1726909.node96      
         0   1726910.node96      
         0   1726911.node96      
         0   1726912.node96      
  1833:54:   1726927.node96      
  1829:01:   1726928.node96      
         0   1727462.node96      
         0   1727510.node96      
  62:37:31   1727516.node96      
  50:33:42   1727518.node96      
  30:59:10   1727522.node96      
  37:07:47   1727523.node96      
  32:24:50   1727524.node96      
  26:50:22   1727525.node96      
  25:22:37   1727526.node96      
  12:00:19   1727527.node96      
  09:23:06   1727528.node96      
         0   1727529.node96      
         0   1727530.node96      
         0   1727531.node96      
         0   1727532.node96      
         0   1727533.node96      
         0   1727534.node96      
         0   1727535.node96      
         0   1727536.node96      
         0   1727537.node96      
         0   1727538.node96      
         0   1727539.node96      
         0   1727540.node96      
         0   1727541.node96      
         0   1727542.node96      
         0   1727543.node96      
         0   1727544.node96      
         0   1727545.node96      
         0   1727546.node96      
         0   1727547.node96      
         0   1727548.node96      
         0   1727549.node96      
         0   1727550.node96      
         0   1727551.node96      
         0   1727552.node96      
         0   1727553.node96      
         0   1727554.node96      
         0   1727555.node96      
         0   1727556.node96      
         0   1727557.node96      
         0   1727558.node96      
         0   1727559.node96      
         0   1727560.node96      
         0   1727561.node96      
         0   1727562.node96      
         0   1727563.node96      
         0   1727564.node96      
         0   1727565.node96      
         0   1727566.node96      
         0   1727567.node96      
         0   1727568.node96      
         0   1727569.node96      
         0   1727645.node96      
         0   1728821.node96      
  199:18:2   1729477.node96      
  195:44:0   1729478.node96      
         0   1729479.node96      
         0   1729480.node96      
         0   1729481.node96      
         0   1729482.node96      
         0   1729483.node96      
         0   1729484.node96      
         0   1729485.node96      
         0   1729486.node96      
         0   1729487.node96      
         0   1729488.node96      
         0   1729489.node96      
         0   1729490.node96      
         0   1729491.node96      
         0   1729492.node96      
         0   1729493.node96      
         0   1729494.node96      
         0   1729495.node96      
         0   1729496.node96      
         0   1729497.node96      
         0   1729498.node96      
         0   1729499.node96      
         0   1729500.node96      
         0   1729501.node96      
         0   1729502.node96      
         0   1729503.node96      
         0   1729504.node96      
         0   1729505.node96      
         0   1729506.node96      
         0   1729507.node96      
         0   1729508.node96      
         0   1729509.node96      
         0   1729510.node96      
         0   1729511.node96      
         0   1729512.node96      
         0   1729513.node96      
         0   1729514.node96      
         0   1729515.node96      
         0   1729516.node96      
         0   1729517.node96      
         0   1729518.node96      
         0   1729519.node96      
         0   1729520.node96      
         0   1729521.node96      
         0   1729522.node96      
         0   1729523.node96      
         0   1729524.node96      
         0   1729525.node96      
         0   1729526.node96      
         0   1729527.node96      
         0   1729528.node96      
         0   1729529.node96      
         0   1729530.node96      
         0   1729531.node96      
         0   1729532.node96      
         0   1729533.node96      
         0   1729534.node96      
         0   1729535.node96      
         0   1729536.node96      
         0   1729537.node96      
         0   1729538.node96      
         0   1729539.node96      
         0   1729540.node96      
